IDlist	CATEGORY	GLOSS	GLOSS	VALUE	FORM	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
72	animal	marrano, puerco, cerdo	pig	kóchí				yes	Spanish		
36	body	grano	pimple	NA							
142	nature	llanura, llano	plain, flatland, lowland	NA							
123	cooking	plato	plate	NA							
169	property	pobre	poor	NA							
46	living	horcón	post	NA							
116	cooking	olla	pot, cooking pot	kìxī							
110	food	nopal	prickly pear cactus	NA							
16	person	sacerdote	priest	jùtyù							
37	body	pus, materia	pus	NA							
66	animal	conejo	rabbit	īlō							
65	animal	mapache	raccoon	má’àn							
138	nature	lluvia	rain (precipitation)	NA							
192	property	crudo	raw	NA							
152	color	rojo	red	kuá’á							
170	property	rico	rich	kuíká							
133	thing	anillo	ring	jé’è							
139	nature	río	river	NA							
70	animal	gallo	rooster	chélē							
85	plant	raíz	root	yò’ō							
129	thing	mecate, cuerda	rope	yō’ò							
99	food	sal	salt	ñìì							
181	property	salado	salty	ì’à							
40	clothing	huarache	sandal, sandals	NA							
56	animal	alacrán	scorpion	tyījí’mà							
163	number	siete	seven	ùsà							
74	animal	borrego, oveja	sheep	NA							
10	kinship	hermana de mujer	sister of woman	kì’vì							
162	number	seis	six	ìñò							
63	animal	zorrillo	skunk	NA							
194	property	despacio	slow	kuéé							
176	property	pequeño.PL, chico.PL	small.PL	NA							
175	property	pequeño.SG, chico.SG	small.SG	lúlú							
121	cooking	humo	smoke	nī’mà							
193	property	liso	smooth	NA							
53	animal	culebra, serpiente	snake	kòò							
132	thing	jabón	soap	NA							
6	kinship	hijo	son	NA							
5	kinship	hijo/hija	son/daughter, child	jà’yī							
209	abstract	canción, música	song, music	yāā							
100	food	calabaza	squash	yīkì							
62	animal	ardilla	squirrel	ndyīkuáñí							
30	body	panza, barriga	stomach, belly	tyìsī							
143	nature	piedra	stone, rock	yùù							
49	living	banquito, banco, silla	stool, chair	tyāyì							
102	food	caña	sugar cane	ndòò							
180	property	dulce	sweet	NA							
35	body	hinchazón	swelling	NA							
79	animal	cola	tail	ndō’ò							
